camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,hue_circular_mean,hue_circular_std,hue_median
none,none,none,none,none,none,none,15dpi,#2,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#2_15dpi.JPG,True,1025805.0,1766000.0,0.5808635334088336,11399.992988586426,1632,1526,11957,36,True,1366.6727294921875,1230.133056640625,61.32639694213867,0.43569706604843733,81.69863804048515,86.0,86.0
none,none,none,none,none,none,none,13dpi,#4,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#4_13dpi.JPG,True,1328974.0,2106202.0,0.6309812639053614,12320.697736740112,1493,1754,12583,37,True,1640.079833984375,1311.9210205078125,15.667452812194824,0.60011611230214,92.49579075614332,94.0,94.0
none,none,none,none,none,none,none,03dpi,#9,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#9_03dpi.JPG,True,1524750.0,2398207.0,0.6357874862345076,16330.463447928429,1772,1834,12506,30,True,1530.43701171875,1494.6251220703125,15.613746643066406,0.21506280627062602,104.55146285675275,104.0,104.0
none,none,none,none,none,none,none,09dpi,#2,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#2_09dpi.JPG,True,1002828.0,1686850.0,0.5944974360494413,10802.360519647598,1576,1506,11366,31,True,1310.048583984375,1225.501220703125,49.78164291381836,0.3534261703595415,95.13651586719698,98.0,98.0
none,none,none,none,none,none,none,11dpi,#8,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#8_11dpi.JPG,True,1436851.0,2292528.0,0.6267539589483749,12718.083389163017,1753,1819,13289,42,True,1641.2724609375,1440.8414306640625,59.08086013793945,0.47887938130781077,106.11151542642662,106.0,106.0
none,none,none,none,none,none,none,09dpi,#7,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#7_09dpi.JPG,True,1252397.0,2094599.5,0.5979171674585047,11003.771768808365,1703,1693,12301,41,True,1556.219970703125,1344.6219482421875,111.41039276123047,0.5034389922027062,100.6273075012491,100.0,100.0
none,none,none,none,none,none,none,07dpi,#3,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#3_07dpi.JPG,True,1282398.0,2004272.5,0.6398321585512948,13671.253209233284,1601,1542,12847,33,True,1487.9990234375,1293.4267578125,123.5326156616211,0.49439214239578194,99.99961078406538,100.0,100.0
none,none,none,none,none,none,none,01dpi,#1,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#1_01dpi.JPG,True,983970.0,1668668.5,0.5896737428674419,10647.299556612968,1647,1541,11039,28,True,1353.845458984375,1229.521728515625,76.7479248046875,0.41860170556844506,103.87916908738524,104.0,104.0
none,none,none,none,none,none,none,15dpi,#7,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#7_15dpi.JPG,True,1798582.0,2547273.5,0.7060812276341744,15709.830502986908,1765,1813,13714,51,True,1687.4757080078125,1540.1568603515625,103.05372619628906,0.4086332214346108,104.10801636821752,104.0,104.0
none,none,none,none,none,none,none,11dpi,#6,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#6_11dpi.JPG,True,1518999.0,2098963.5,0.7236900498746167,11082.169613838196,1655,1729,12701,47,True,1590.8883056640625,1383.365234375,33.85987854003906,0.49383571688741473,100.97655807222421,102.0,102.0
